diet,proximal,distal
corn,7.18990,11.62786
corn,4.02330,14.31413
corn,4.54421,12.01700
corn,3.14547,20.89935
corn,13.07831,16.65693
corn,26.61167,25.33454
corn,17.95658,26.36832
corn,21.30528,30.17535
corn,25.14709,32.33203
corn,10.45855,35.26464
corn,30.51904,21.79456
corn,19.63147,53.92164
corn,44.67415,39.84254
corn,59.78316,38.89181
corn,29.64758,64.51591
fish,6.79768,6.43895
fish,5.44982,4.81874
fish,4.57780,12.23648
fish,6.44518,14.60695
fish,11.62636,14.07196
fish,22.27948,16.68968
fish,17.60144,16.24445
fish,20.49984,18.86025
fish,28.10777,13.54074
fish,14.75944,21.58090
fish,22.13466,22.50038
fish,40.03226,37.56684
fish,46.56567,21.71206
fish,25.26858,20.15018