height,redpetals,distance
29,3,0
24,2,0
22,6,0
27,2,0
40,3,0
34,3,0
30,4,0
34,2,0
38,2,0
38,0,0
27,2,0
37,3,0
28,2,0
36,1,0
32,2,0
37,1,0
29,2,0
29,2,0
31,3,0
33,5,0
20,1,0
39,0,0
36,2,0
31,4,0
43,5,0
34,5,0
25,3,0
29,9,0
26,2,0
30,5,0
30,0,0
31,3,0
16,4,0
31,5,0
30,4,0
37,6,0
31,3,0
28,4,0
32,6,0
25,0,0
33,4,0
27,4,0
25,3,0
16,8,0
26,5,0
20,5,0
30,5,0
20,0,0
23,3,0
21,5,0
22,2,0
19,2,0
15,5,0
28,3,0
21,6,0
30,5,0
35,3,0
31,4,0
38,4,0
33,0,0
35,2,0
33,3,0
31,0,0
26,3,0
33,1,0
25,5,0
33,0,0
25,4,0
25,3,0
32,4,0
25,4,0
27,2,0
38,4,0
24,1,0
18,2,0
30,3,0
33,2,0
27,3,0
24,3,0
36,3,0
29,5,0
38,4,0
29,5,0
25,5,0
28,3,0
22,2,0
25,2,0
37,5,0
30,4,0
26,5,0
37,1,0
41,2,0
24,4,0
33,2,0
30,5,0
37,0,0
40,3,0
30,3,0
44,3,0
33,1,0
23,9,1
20,9,1
22,6,1
24,9,1
29,11,1
27,15,1
25,5,1
36,5,1
30,7,1
29,6,1
28,6,1
28,10,1
31,6,1
26,7,1
26,3,1
25,3,1
30,6,1
31,8,1
27,5,1
27,6,1
26,5,1
29,6,1
24,4,1
28,4,1
23,3,1
24,5,1
23,2,1
24,6,1
21,2,1
21,3,1
21,2,1
22,2,1
33,5,1
30,5,1
33,8,1
22,2,1
20,6,1
16,6,1
23,7,1
38,3,1
29,6,1
33,4,1
28,2,1
32,9,1
32,7,1
35,5,1
18,4,1
32,8,1
33,7,1
35,1,1
17,0,1
12,1,1
43,4,1
14,2,1
41,3,1
24,7,1
42,2,1
31,2,1
33,9,1
29,0,1
41,1,1
31,4,1
42,3,1
47,3,1
41,8,1
48,9,1
33,6,1
32,4,1
31,3,1
26,3,1
30,2,1
39,5,1
35,4,1
32,3,1
27,8,1
33,4,1
24,5,1
20,2,1
33,2,1
33,0,1
22,3,1
23,4,1
35,6,1
25,2,1
38,7,1
29,5,1
30,3,1
34,1,1
34,6,1
16,1,1
30,5,1
39,4,1
33,4,1
33,8,1
40,5,1
41,4,1
36,7,1
30,5,1
34,6,1
49,5,1