Reference Method,Test Method,Test - Reference,Test / Reference,Log(Reference Method),Log(Test Method),Log(Test / Reference)
1,1.8,0.8,1.8,0,0.587786665,0.587786665
1.4,1,-0.4,0.714285714,0.336472237,0,-0.336472237
1.6,1.5,-0.1,0.9375,0.470003629,0.405465108,-0.064538521
1.8,1.3,-0.5,0.722222222,0.587786665,0.262364264,-0.3254224
1.9,1.7,-0.2,0.894736842,0.641853886,0.530628251,-0.111225635
1.9,1.6,-0.3,0.842105263,0.641853886,0.470003629,-0.171850257
1.9,1.1,-0.8,0.578947368,0.641853886,0.09531018,-0.546543706
1.9,1.6,-0.3,0.842105263,0.641853886,0.470003629,-0.171850257
2,1.6,-0.4,0.8,0.693147181,0.470003629,-0.223143551
2,3.4,1.4,1.7,0.693147181,1.223775432,0.530628251
2,1.4,-0.6,0.7,0.693147181,0.336472237,-0.356674944
2.1,1.6,-0.5,0.761904762,0.741937345,0.470003629,-0.271933715
2.1,1.6,-0.5,0.761904762,0.741937345,0.470003629,-0.271933715
2.2,1.7,-0.5,0.772727273,0.78845736,0.530628251,-0.257829109
2.4,2.1,-0.3,0.875,0.875468737,0.741937345,-0.133531393
2.4,1.6,-0.8,0.666666667,0.875468737,0.470003629,-0.405465108
2.4,2.2,-0.2,0.916666667,0.875468737,0.78845736,-0.087011377
2.5,1.1,-1.4,0.44,0.916290732,0.09531018,-0.820980552
2.6,3,0.4,1.153846154,0.955511445,1.098612289,0.143100844
2.8,3.1,0.3,1.107142857,1.029619417,1.131402111,0.101782694
2.9,3.4,0.5,1.172413793,1.064710737,1.223775432,0.159064695
3,1.8,-1.2,0.6,1.098612289,0.587786665,-0.510825624
3.2,3.2,0,1,1.16315081,1.16315081,0
3.3,3.3,0,1,1.193922468,1.193922468,0
3.4,1.8,-1.6,0.529411765,1.223775432,0.587786665,-0.635988767
3.4,3.4,0,1,1.223775432,1.223775432,0
3.6,3.5,-0.1,0.972222222,1.280933845,1.252762968,-0.028170877
3.6,2.2,-1.4,0.611111111,1.280933845,0.78845736,-0.492476485
3.6,2.8,-0.8,0.777777778,1.280933845,1.029619417,-0.251314428
3.9,2.2,-1.7,0.564102564,1.360976553,0.78845736,-0.572519193
4.4,4.4,0,1,1.481604541,1.481604541,0
4.6,4.8,0.2,1.043478261,1.526056303,1.568615918,0.042559614
4.6,3.3,-1.3,0.717391304,1.526056303,1.193922468,-0.332133835
5.4,4.6,-0.8,0.851851852,1.686398954,1.526056303,-0.16034265
5.6,4.3,-1.3,0.767857143,1.722766598,1.458615023,-0.264151575
5.7,9,3.3,1.578947368,1.740466175,2.197224577,0.456758402
5.8,3.7,-2.1,0.637931034,1.757857918,1.30833282,-0.449525098
5.9,2.9,-3,0.491525424,1.774952351,1.064710737,-0.710241614
6,9,3,1.5,1.791759469,2.197224577,0.405465108
6.1,5.9,-0.2,0.967213115,1.808288771,1.774952351,-0.03333642
6.1,6.1,0,1,1.808288771,1.808288771,0
6.2,5.2,-1,0.838709677,1.824549292,1.648658626,-0.175890666
6.2,10.6,4.4,1.709677419,1.824549292,2.360854001,0.536304709
6.4,6,-0.4,0.9375,1.85629799,1.791759469,-0.064538521
6.4,4.1,-2.3,0.640625,1.85629799,1.410986974,-0.445311017
6.7,7.8,1.1,1.164179104,1.902107526,2.054123734,0.152016207
6.7,6.9,0.2,1.029850746,1.902107526,1.931521412,0.029413885
6.8,4.6,-2.2,0.676470588,1.916922612,1.526056303,-0.390866309
7,7.5,0.5,1.071428571,1.945910149,2.014903021,0.068992871
7.9,8,0.1,1.012658228,2.066862759,2.079441542,0.012578782
8,7.8,-0.2,0.975,2.079441542,2.054123734,-0.025317808
8.1,5.4,-2.7,0.666666667,2.091864062,1.686398954,-0.405465108
8.2,6.4,-1.8,0.780487805,2.104134154,1.85629799,-0.247836164
8.6,6.8,-1.8,0.790697674,2.151762203,1.916922612,-0.234839591
8.6,9.2,0.6,1.069767442,2.151762203,2.219203484,0.067441281
8.8,8.4,-0.4,0.954545455,2.174751721,2.128231706,-0.046520016
9.9,9.3,-0.6,0.939393939,2.292534757,2.2300144,-0.062520357
10.5,11.7,1.2,1.114285714,2.351375257,2.459588842,0.108213585
10.6,8.2,-2.4,0.773584906,2.360854001,2.104134154,-0.256719847
10.8,9.4,-1.4,0.87037037,2.379546134,2.240709689,-0.138836445
12.4,12.2,-0.2,0.983870968,2.517696473,2.501435952,-0.016260521
13,12.2,-0.8,0.938461538,2.564949357,2.501435952,-0.063513406
13,8.9,-4.1,0.684615385,2.564949357,2.186051277,-0.378898081
13.6,11.1,-2.5,0.816176471,2.610069793,2.406945108,-0.203124684
13.8,15.2,1.4,1.101449275,2.624668592,2.721295428,0.096626836
15.4,18.8,3.4,1.220779221,2.734367509,2.93385687,0.19948936
16.8,15.8,-1,0.94047619,2.821378886,2.76000994,-0.061368946
19.3,17.6,-1.7,0.911917098,2.960105096,2.867898902,-0.092206194
20,15.8,-4.2,0.79,2.995732274,2.76000994,-0.235722334
20.5,28.8,8.3,1.404878049,3.020424886,3.360375387,0.339950501
21.8,18.1,-3.7,0.830275229,3.08190997,2.895911938,-0.185998032
22,25.5,3.5,1.159090909,3.091042453,3.238678452,0.147635999
23.5,16.4,-7.1,0.69787234,3.157000421,2.797281335,-0.359719086
24.9,16.4,-8.5,0.658634538,3.214867803,2.797281335,-0.417586469
24.9,20.4,-4.5,0.819277108,3.214867803,3.015534901,-0.199332903
26,32.4,6.4,1.246153846,3.258096538,3.478158423,0.220061885
30,33.4,3.4,1.113333333,3.401197382,3.5085559,0.107358518
31,41.9,10.9,1.351612903,3.433987204,3.735285827,0.301298622
33.5,32.9,-0.6,0.982089552,3.511545439,3.493472658,-0.018072781
34.5,27,-7.5,0.782608696,3.540959324,3.295836866,-0.245122458
36.5,37.4,0.9,1.024657534,3.597312261,3.621670704,0.024358444
37,32.9,-4.1,0.889189189,3.610917913,3.493472658,-0.117445255
38,48.6,10.6,1.278947368,3.63758616,3.883623531,0.246037371
38,40.7,2.7,1.071052632,3.63758616,3.706228092,0.068641933
67,50.9,-16.1,0.759701493,4.204692619,3.929862924,-0.274829696